Sector,Area,AreaCoverage,Terrain,TOD,WX,THours,TSearchers,TSpacing,AMDR,Rank,POScum
A,5,100,HeavyWoods,Day,Normal,-1,-1,-1,-1,100,0
B,10,100,HeavyWoods,Day,Normal,-1,-1,-1,-1,99,0
C,15,100,HeavyWoods,Day,Normal,-1,-1,-1,-1,98,0
D,5,100,HeavyWoods,Day,Normal,-1,-1,-1,-1,97,0.2
E,10,100,HeavyWoods,Day,Normal,-1,-1,-1,-1,96,0.2
F,15,100,HeavyWoods,Day,Normal,-1,-1,-1,-1,95,0.2
G,5,100,HeavyWoods,Day,Snow6to8in,-1,-1,-1,-1,94,0
H,10,75,HeavyWoods,Day,Normal,-1,-1,-1,-1,93,0
J,15,50,HeavyWoods,Day,Normal,-1,-1,-1,-1,92,0
K,20,25,HeavyWoods,Day,Normal,-1,-1,-1,-1,91,0.2
L,25,5,HeavyWoods,Day,Normal,-1,-1,-1,-1,90,0.2
M,30,50,HeavyWoods,Day,Normal,-1,-1,-1,-1,89,0.2
N,5,-50,HeavyWoods,Day,Normal,-1,-1,-1,-1,88,0.1
P,10,-50,HeavyWoods,Day,Normal,-1,-1,-1,-1,87,0.2
Q,15,-50,HeavyWoods,Day,Normal,-1,-1,-1,-1,86,0.3
R,20,-50,HeavyWoods,Day,Normal,-1,-1,-1,-1,85,0.4
S,25,-50,HeavyWoods,Day,Normal,-1,-1,-1,-1,84,0.5
T,30,-50,HeavyWoods,Day,Normal,-1,-1,-1,-1,83,0.6
U,5,100,SteepTerrain,Day,Normal,-1,-1,-1,-1,82,0
V,10,100,SteepTerrain,Day,Normal,-1,-1,-1,-1,81,0
W,15,100,SteepTerrain,Day,Normal,-1,-1,-1,-1,80,0
X,20,100,SteepTerrain,Day,Normal,-1,-1,-1,-1,79,0
Y,25,100,SteepTerrain,Day,Normal,-1,-1,-1,-1,78,0
Z,30,100,SteepTerrain,Day,Normal,-1,-1,-1,-1,77,0
AA,5,100,ModerateTerrain,Day,Normal,-1,-1,-1,-1,76,0.5
BB,10,100,ModerateTerrain,Day,Normal,-1,-1,-1,-1,75,0.5
CC,15,100,ModerateTerrain,Day,Normal,-1,-1,-1,-1,74,0.5
DD,20,100,ModerateTerrain,Day,Normal,-1,-1,-1,-1,73,0.5
EE,25,100,ModerateTerrain,Day,Normal,-1,-1,-1,-1,72,0.5
FF,30,100,ModerateTerrain,Day,Normal,-1,-1,-1,-1,71,0.5
GG,5,100,OpenWoods,Day,Normal,-1,-1,-1,-1,70,0.5
HH,10,100,OpenArea,Day,Normal,-1,-1,-1,-1,69,0.1
JJ,15,100,FlatArea,Day,Normal,-1,-1,-1,-1,68,0.2
KK,20,100,Urban,Day,Normal,-1,-1,-1,-1,67,0.3
LL,25,100,ModerateTerrain,Day,Normal,-1,-1,-1,-1,66,0.4
MM,30,100,OpenWoods,Day,Normal,-1,-1,-1,-1,65,0.5
NN,5,100,OpenArea,Day,Normal,-1,-1,-1,-1,64,0.6
PP,10,100,FlatArea,Day,Normal,-1,-1,-1,-1,63,0.7
QQ,15,100,Urban,Day,Normal,-1,-1,-1,-1,62,0.1
RR,20,100,ModerateTerrain,Day,Normal,-1,-1,-1,-1,61,0.2
SS,25,100,OpenWoods,Day,Normal,-1,-1,-1,-1,60,0.3
TT,30,100,OpenArea,Day,Normal,-1,-1,25,3,59,0.4
UU,5,100,FlatArea,Night,Normal,-1,-1,15,-1,58,0.5
VV,10,100,Urban,Night,Normal,-1,-1,1,2,57,0.6
WW,15,100,ModerateTerrain,Night,Normal,-1,-1,2,4,56,0.1
XX,20,100,OpenWoods,Night,Normal,-1,-1,4,6,55,0.1
YY,25,100,OpenArea,Night,Normal,-1,-1,40,20,54,0.1
ZZ,30,100,FlatArea,Night,Normal,-1,-1,100,30,53,0.1
