Sector,Area,AreaCoverage,Terrain,TOD,WX,THours,TSearchers,TSpacing,AMDR,Rank,POScum,fnCovered,fnMissed,AreaCov,POC,terspd,terheads,FirstPass,ROThrs,NHRSH,SAVHRS,ESW,COV,POD,delspc,dPOD,POS,dPOS,OPOScum,RTotlHeads,RTotlPOS,TotlArea,AvgSpacing,rPOC,AvgAMDR,POSm
A,5,100,HeavyWoods,Day,Normal,4.32,3,6,4,1,0,1,0,5,0.087,0.4,12.9461,1,4.942,17.855,1.08,6,1,0.632,1.5,0.104,0.055,0.009,0.055,3,0.055,5,6,0.087,4,0
B,10,100,HeavyWoods,Day,Normal,4.32,6,6,4,2,0,1,0,10,0.174,0.4,25.8921,1,9.884,35.711,0.62,6,1,0.632,0.85714286,0.056,0.11,0.01,0.11,9,0.165,15,6,0.261,4,0
C,15,100,HeavyWoods,Day,Normal,6.47,6,6,4,3,0,1,0,15,0.261,0.4,38.8382,1,14.826,53.566,0.92,6,1,0.632,0.85714286,0.056,0.165,0.015,0.165,15,0.33,30,6,0.522,4,0
D,5,100,HeavyWoods,Day,Normal,4.32,3,6,4,4,0.2,1,0,5,0.348,0.4,12.9461,1,4.942,17.855,1.08,6,1,0.632,1.5,0.104,0.094,0.036,0.294,18,0.424,35,6,0.67,4,0
E,10,100,HeavyWoods,Day,Normal,4.32,6,6,4,5,0.2,1,0,10,0.435,0.4,25.8921,1,9.884,35.711,0.62,6,1,0.632,0.85714286,0.056,0.149,0.024,0.349,24,0.573,45,6,0.905,4,0
F,15,100,HeavyWoods,Day,Normal,6.47,6,6,4,6,0.2,1,0,15,0.522,0.4,38.8382,1,14.826,53.566,0.92,6,1,0.632,0.85714286,0.056,0.204,0.029,0.404,30,0.777,60,6,1.227,4,0
G,5,100,HeavyWoods,Day,Snow6to8in,3.84,9,6,4,7,0,1,0,5,0.609,0.15,34.5228,1,4.942,17.855,0.38,6,1,0.632,0.6,0.039,0.385,0.024,0.385,39,1.162,65,6,1.836,4,0
H,10,75,HeavyWoods,Day,Normal,3.88,5,6,4,8,0,0.75,0.25,7.5,0.696,0.4,19.4191,1,7.413,26.783,0.65,6,1,0.632,1,0.067,0.33,0.035,0.33,44,1.492,72.5,6,2.358,4,0.11
J,15,50,HeavyWoods,Day,Normal,3.88,5,6,4,9,0,0.5,0.5,7.5,0.783,0.4,19.4191,1,7.413,26.783,0.65,6,1,0.632,1,0.067,0.247,0.026,0.247,49,1.739,80,6,2.7495,4,0.247
K,20,25,HeavyWoods,Day,Normal,4.32,3,6,4,10,0.2,0.25,0.75,5,0.87,0.4,12.9461,1,4.942,17.855,1.08,6,1,0.632,1.5,0.104,0.106,0.023,0.306,52,1.845,85,6,2.917,4,0.318
L,25,5,HeavyWoods,Day,Normal,1.62,2,6,4,11,0.2,0.05,0.95,1.25,0.957,0.4,3.2365,1,1.236,4.464,0.54,6,1,0.632,2,0.145,0.024,0.007,0.224,54,1.869,86.25,6,2.95485,4,0.456
M,30,50,HeavyWoods,Day,Normal,6.47,6,6,4,12,0.2,0.5,0.5,15,1.044,0.4,38.8382,1,14.826,53.566,0.92,6,1,0.632,0.85714286,0.056,0.267,0.029,0.467,60,2.136,101.25,6,3.37685,4,0.267
N,5,-50,HeavyWoods,Day,Normal,3.24,2,6,4,13,0.1,0.5,0.5,2.5,1.131,0.4,6.473,-1,2.471,8.928,1.08,6,1,0.632,2,0.145,0.357,0.082,0.457,62,2.493,103.75,6,2.86135,4,0.357
P,10,-50,HeavyWoods,Day,Normal,4.32,3,6,4,14,0.2,0.5,0.5,5,1.218,0.4,12.9461,-1,4.942,17.855,1.08,6,1,0.632,1.5,0.104,0.385,0.063,0.585,65,2.878,108.75,6,2.35235,4,0.385
Q,15,-50,HeavyWoods,Day,Normal,3.88,5,6,4,9,0.3,0.5,0.5,7.5,0.783,0.4,19.4191,-1,7.413,26.783,0.65,6,1,0.632,1,0.067,0.247,0.026,0.547,70,3.125,116.25,6,2.11085,4,0.247
R,20,-50,HeavyWoods,Day,Normal,4.32,6,6,4,16,0.4,0.5,0.5,10,1.393,0.4,25.8921,-1,9.884,35.711,0.62,6,1,0.632,0.85714286,0.056,0.44,0.039,0.84,76,3.565,126.25,6,1.61435,4,0.44
S,25,-50,HeavyWoods,Day,Normal,4.05,8,6,4,17,0.5,0.5,0.5,12.5,1.48,0.4,32.3651,-1,12.355,44.639,0.45,6,1,0.632,0.66666667,0.043,0.468,0.032,0.968,84,4.033,138.75,6,1.12435,4,0.468
T,30,-50,HeavyWoods,Day,Normal,6.47,6,6,4,18,0.6,0.5,0.5,15,1.567,0.4,38.8382,-1,14.826,53.566,0.92,6,1,0.632,0.85714286,0.056,0.495,0.044,1.095,90,4.528,153.75,6,0.64085,4,0.495
U,5,100,SteepTerrain,Day,Normal,4.32,3,6,4,19,0,1,0,5,1.654,0.4,12.9461,1,4.942,17.855,1.08,6,1,0.632,1.5,0.104,1.045,0.172,1.045,93,5.573,158.75,6,2.29485,4,0
V,10,100,SteepTerrain,Day,Normal,4.32,6,6,4,20,0,1,0,10,1.741,0.4,25.8921,1,9.884,35.711,0.62,6,1,0.632,0.85714286,0.056,1.1,0.097,1.1,99,6.673,168.75,6,4.03585,4,0
W,15,100,SteepTerrain,Day,Normal,6.47,6,6,4,21,0,1,0,15,1.828,0.4,38.8382,1,14.826,53.566,0.92,6,1,0.632,0.85714286,0.056,1.155,0.102,1.155,105,7.828,183.75,6,5.86385,4,0
X,20,100,SteepTerrain,Day,Normal,5.75,9,6,4,22,0,1,0,20,1.915,0.4,51.7842,1,19.768,71.422,0.58,6,1,0.632,0.6,0.039,1.21,0.075,1.21,114,9.038,203.75,6,7.77885,4,0
Y,25,100,SteepTerrain,Day,Normal,5.88,11,6,4,23,0,1,0,25,2.002,0.4,64.7303,1,24.71,89.277,0.49,6,1,0.632,0.5,0.032,1.265,0.064,1.265,125,10.303,228.75,6,9.78085,4,0
Z,30,100,SteepTerrain,Day,Normal,5.98,13,6,4,24,0,1,0,30,2.089,0.4,77.6763,1,29.653,107.133,0.43,6,1,0.632,0.42857143,0.027,1.32,0.056,1.32,138,11.623,258.75,6,11.86985,4,0
AA,5,100,ModerateTerrain,Day,Normal,1.85,2,10.5,7,25,0.5,1,0,5,2.176,0.8,3.6989,1,2.471,10.203,0.62,10.5,1,0.632,3.5,0.145,1.059,0.316,1.559,140,12.682,263.75,6.085308,13.54585,4.056872,0
BB,10,100,ModerateTerrain,Day,Normal,3.7,2,10.5,7,26,0.5,1,0,10,2.263,0.8,7.3977,1,4.942,20.406,1.23,10.5,1,0.632,3.5,0.145,1.114,0.328,1.614,142,13.796,273.75,6.246575,15.30885,4.164384,0
CC,15,100,ModerateTerrain,Day,Normal,3.7,3,10.5,7,27,0.5,1,0,15,2.35,0.8,11.0966,1,7.413,30.609,0.92,10.5,1,0.632,2.625,0.104,1.169,0.244,1.669,145,14.965,288.75,6.467532,17.15885,4.311688,0
DD,20,100,ModerateTerrain,Day,Normal,3.7,4,10.5,7,28,0.5,1,0,20,2.437,0.8,14.7955,1,9.884,40.812,0.74,10.5,1,0.632,2.1,0.081,1.224,0.197,1.724,149,16.189,308.75,6.728745,19.09585,4.48583,0
EE,25,100,ModerateTerrain,Day,Normal,3.7,5,10.5,7,29,0.5,1,0,25,2.524,0.8,18.4944,1,12.355,51.016,0.62,10.5,1,0.632,1.75,0.067,1.279,0.169,1.779,154,17.468,333.75,7.011236,21.11985,4.674157,0
FF,30,100,ModerateTerrain,Day,Normal,3.7,6,10.5,7,30,0.5,1,0,30,2.611,0.8,22.1932,1,14.826,61.219,0.53,10.5,1,0.632,1.5,0.056,1.334,0.146,1.834,160,18.802,363.75,7.298969,23.23085,4.865979,0
GG,5,100,OpenWoods,Day,Normal,1.85,2,10.5,7,31,0.5,1,0,5,2.698,0.8,3.6989,1,2.471,10.203,0.62,10.5,1,0.632,3.5,0.145,1.389,0.391,1.889,162,20.191,368.75,7.342373,25.42885,4.894915,0
HH,10,100,OpenArea,Day,Normal,1.73,2,15,10,32,2,1,0,10,2.785,1.2,3.4523,1,2.471,14.284,0.58,15,1,0.632,5,0.145,0.496,0.404,2.496,164,20.687,378.75,7.544554,26.21385,5.029703,0
JJ,15,100,FlatArea,Day,Normal,2.59,2,15,10,33,1.75,1,0,15,2.872,1.2,5.1784,1,3.707,21.427,0.86,15,1,0.632,5,0.145,0.709,0.416,2.459,166,21.396,393.75,7.828571,27.33585,5.219048,0
KK,20,100,Urban,Day,Normal,2.44,2,15,10,34,1.5,1,0,20,2.959,1.7,4.8738,1,4.942,28.569,0.81,15,1,0.632,5,0.145,0.922,0.429,2.422,168,22.318,413.75,8.175227,28.79485,5.450151,0
LL,25,100,ModerateTerrain,Day,Normal,3.7,5,10.5,7,35,1.25,1,0,25,3.046,0.8,18.4944,1,12.355,51.016,0.62,10.5,1,0.632,1.75,0.067,1.135,0.204,2.385,173,23.453,438.75,8.307692,30.59085,5.538462,0
MM,30,100,OpenWoods,Day,Normal,3.7,6,10.5,7,36,1,1,0,30,3.133,0.8,22.1932,1,14.826,61.219,0.53,10.5,1,0.632,1.5,0.056,1.348,0.175,2.348,179,24.801,468.75,8.448,32.72385,5.632,0
NN,5,100,OpenArea,Day,Normal,0.86,2,15,10,37,0.75,1,0,5,3.22,1.2,1.7261,1,1.236,7.142,0.29,15,1,0.632,5,0.145,1.561,0.467,2.311,181,26.362,473.75,8.51715,35.19385,5.6781,0
PP,10,100,FlatArea,Day,Normal,1.73,2,15,10,38,0.5,1,0,10,3.307,1.2,3.4523,1,2.471,14.284,0.58,15,1,0.632,5,0.145,1.774,0.48,2.274,183,28.136,483.75,8.651163,38.00085,5.767442,0
QQ,15,100,Urban,Day,Normal,1.83,2,15,10,39,0.5,1,0,15,3.394,1.7,3.6554,1,3.707,21.427,0.61,15,1,0.632,5,0.145,1.829,0.492,2.329,185,29.965,498.75,8.842105,40.89485,5.894737,0
RR,20,100,ModerateTerrain,Day,Normal,3.7,4,10.5,7,40,0.5,1,0,20,3.481,0.8,14.7955,1,9.884,40.812,0.74,10.5,1,0.632,2.1,0.081,1.884,0.282,2.384,189,31.849,518.75,8.906024,43.87585,5.937349,0
SS,25,100,OpenWoods,Day,Normal,3.7,5,10.5,7,41,0.5,1,0,25,3.568,0.8,18.4944,1,12.355,51.016,0.62,10.5,1,0.632,1.75,0.067,1.939,0.239,2.439,194,33.788,543.75,8.97931,46.94385,5.986207,0
TT,30,100,OpenArea,Day,Normal,3.11,2,25,3,42,2,1,0,30,3.655,1.2,6.2141,1,7.413,25.712,1.04,4.5,0.18,0.165,8.33333333,0.07,0.273,0.256,2.273,196,34.061,573.75,9.816993,48.59885,5.830065,0
UU,5,100,FlatArea,Night,Normal,1.73,2,15,10,42,1.75,1,0,5,3.655,1.2,3.4523,1,2.471,7.142,0.58,15,1,0.632,5,0.145,1.204,0.53,2.954,198,35.265,578.75,9.861771,50.50385,5.866091,0
VV,10,100,Urban,Night,Normal,6.09,12,1,2,42,1.5,1,0,10,3.655,1.7,73.1071,1,4.942,214.266,0.47,3,3,0.95,0.07692308,0.011,2.047,0.04,3.547,210,37.312,588.75,9.711253,52.65885,5.800425,0
WW,15,100,ModerateTerrain,Night,Normal,6.13,19,2,4,42,1.25,1,0,15,3.655,0.8,116.5145,1,14.826,160.699,0.31,6,3,0.95,0.1,0.007,2.285,0.026,3.535,229,39.597,603.75,9.519669,55.06385,5.755694,0
XX,20,100,OpenWoods,Night,Normal,5.98,13,4,6,42,1,1,0,20,3.655,0.8,77.6763,1,19.768,107.133,0.43,9,2.25,0.895,0.28571429,0.017,2.376,0.062,3.376,242,41.973,623.75,9.342685,57.71885,5.763527,0
YY,25,100,OpenArea,Night,Normal,3.24,2,40,20,42,0.75,1,0,25,3.655,1.2,6.473,1,12.355,13.392,1.08,30,0.75,0.528,13.33333333,0.146,1.534,0.534,2.284,244,43.507,648.75,10.524085,60.62385,6.312139,0
ZZ,30,100,FlatArea,Night,Normal,1.55,2,100,30,42,0.5,1,0,30,3.655,1.2,3.1071,1,14.826,6.428,0.52,45,0.45,0.362,33.33333333,0.126,1.142,0.461,1.642,246,44.649,678.75,14.478821,63.77885,7.359116,0
